PROVINCE / LGU,Distance (km),Distance (mi),2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Negros Oriental,596.97,370.94,-,24.5749,23.1099,33.8593,36.0614,36.0879,37.4512,30.5826,28.3147,28.7894
Northern Samar,457.58,284.33,-,-,21.3312,28.8098,28.8025,30.2572,33.0488,28.2394,26.3237,30.1859
Nueva Ecija,118.46,73.61,-,26.7603,23.4749,65.4654,36.0518,36.3711,37.3421,31.5783,31.0544,30.82
Nueva Vizcaya,213.61,132.73,-,28.279,19.8387,33.3126,34.9221,34.9458,36.919,30.7321,28.7345,30.1128
Occidental Mindoro,182.48,113.39,-,28.7467,23.2583,33.1488,35.8121,35.4877,35.3355,31.0598,30.3301,32.5983
Oriental Mindoro,181.49,112.77,-,31.7623,23.6516,34.7555,37.2629,33.8816,39.0941,34.9705,32.0106,32.8268
Palawan,258.8,160.81,-,28.4424,25.0841,-,34.0433,29.3935,34,31.1944,26.657,28.72
Pampanga,973.5,604.91,-,31.149,24.5349,33.0951,37.4626,41.3644,42.5022,36.9341,32.9052,34.6768
Pangasinan,966.82,600.76,-,28.8282,25.256,34.3418,37.2235,36.6611,38.3503,35.0071,31.9686,32.4118
Quezon,15.95,9.91,-,29.132,23.9444,36.1196,35.0888,35.8723,37.5185,32.1113,30.8772,33.7312
Quirino,294.17,182.79,-,26.0752,22.0193,35.5618,37.8478,38.3019,39.9018,33.9495,30.7373,31.4457
Rizal,125.59,78.04,-,35.7269,35.6731,46.3838,42.6546,51.4969,51.525,45.7503,40.2271,44.069
Romblon Province,267.08,165.96,-,24.3782,18.3591,-,28.4201,32.2688,36.2854,33.1945,27.9012,28.6789
Samar (Western Samar),532.71,331.01,-,-,-,-,35.4616,33.1495,36.0243,30.7749,28.6938,30.7364
Sarangani,1054.2,655.05,-,41.8966,33.28,65.2502,39.6056,68.2685,70.5328,62.463,54.4452,54.5067
Siquijor Province,657.86,408.77,-,24.958,22.6608,33.9851,34.7297,35.2286,38.9348,33.9672,28.6579,31.5838
Sorsogon Province,372.72,231.6,-,26.2272,22.0639,29.8253,31.1431,32.28,35.1907,28.9758,28.6777,29.7166
South Cotabato,1008.61,626.72,-,36.4232,30.8562,40.1087,39.0962,41.3193,40.6958,37.1676,33.1494,34.9074
Southern Leyte,640.1,397.74,-,-,19.8477,30.0292,34.3077,25.99,33.0306,30.1235,28.4131,28.0731
Sultan Kudarat,892,554.26,-,-,29.3242,36.5174,39.3766,39.0975,38.0599,67.5678,59.23,63.8173
Sulu,948.13,589.14,-,-,-,-,-,-,-,20.7937,15.047,12.1853
Surigao Del Norte,724.78,450.36,-,30.108,25.2742,34.1893,35.3953,35.6398,39.5989,35.4749,31.1615,32.5826
Surigao Del Sur,835.06,518.88,-,26.6935,23.9547,32.6824,34.6035,34.0496,36.1987,31.6071,27.8886,28.1913
Tarlac Province,106.78,66.35,-,23.0322,22.2678,32.1255,37.1009,36.2323,39.3689,33.3373,32.6078,34.2754
Tawi-Tawi,1055.67,655.97,-,-,-,-,-,-,-,25.7325,24.1173,23.1214
