PROVINCE / LGU,Distance (km),Distance (mi),2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aroroy,348.64,216.63,8.1641,14.7129,7.8965,5.3798,0,6.6221,8.5105,7.556,6.8672,6.5027
Arteche,546.48,339.57,-,-,-,7.8319,0,7.5032,8.4379,9.2222,8.2334,8.9432
Asingan,161.23,100.19,-,-,6.1241,7.2121,0,9.6932,10.4952,9.8235,8.5076,9.4765
Asipulo,238.06,147.93,-,-,4.9577,6.2065,0,8.4081,10.1432,9.8887,7.7564,8.1995
Asturias,536.45,333.34,-,11.6192,11.3533,8.6187,0,12.1697,8.4442,8.0711,4.6596,7.2058
Asuncion,942.44,585.61,16.7499,15.6734,9.2051,7.7463,0,9.7211,9.6353,9.4968,7.9692,9.4188
Atimonan,120.49,74.87,12.2509,16.1326,10.0453,11.2442,0,9.9698,10.2846,8.7178,8.0335,9.24
Atok,228.49,141.98,-,15.6294,10.0105,5.6451,0,5.6509,5.5625,6.929,6.251,6.2494
Aurora (IA),275.02,170.89,-,13.4709,8.0591,11.1841,0,11.02,11.3543,9.5265,9.1121,8.5951
Aurora (ZR),792.33,275.02,16.9112,16.3054,10.6826,3.7374,0,0.248,6.3024,9.7538,7.9145,8.7514
Ayungon,575.67,357.71,-,13.3562,6.1587,8.6354,0,9.0641,7.041,6.533,3.6446,4.7095
Baao,286.84,178.24,5.7243,10.932,5.9559,4.8218,0,11.4034,10.6916,9.2104,5.4113,4.7354
Babatngon,547.14,339.98,-,0.1547,10.5326,7.5777,0,9.5613,10.0909,9.1708,7.3314,3.5026
Bacacay,336.1,208.84,12.0568,10.8434,6.2915,7.1313,0,8.8793,8.9357,9.631,6.0733,7.7981
Bacarra,411.37,255.61,18.3552,17.656,12.5785,10.6025,0,11.2435,10.4838,10.7208,8.2379,8.4728
Baclayon,637.31,396,-,8.8201,6.4622,8.702,0,10.2721,8.3937,6.6385,6.2812,3.5765
Bacnotan,246.96,153.45,11.552,17.2938,12.9548,10.6808,0,10.179,10.7014,10.1318,8.8494,10.2939
Bacolod (LN),786.4,488.64,-,15.3251,12.0119,11.7791,0,10.9611,11.3222,8.7496,8.2848,8.6295
Bacolod (NO),486.17,302.09,16.8395,19.0568,15.0021,10.5433,13.2214,12.5772,11.451,11.2005,11.3871,11.2587
Bacolod-Kalawi,823.68,511.81,-,-,-,-,-,-,-,8.2581,7.8484,7.2477
Bacolor,57.83,35.94,-,10.1708,7.6166,8.3518,0,11.177,11.2985,9.4169,9.1937,8.7292
Bacong,644.75,400.63,-,8.4452,6.8157,10.7618,0,10.1383,7.4659,4.1408,4.0675,7.146
Bacungan Leon B. Postigo,747.41,464.42,-,-,0.0396,0.1874,0,7.7961,7.0875,7.4123,7.5061,8.2304
Badian,586.43,364.39,-,1.837,6.6768,9.369,0,12.777,11.341,9.0017,7.315,6.0764
Badiangan,434.74,270.13,-,2.613,5.519,5.2899,0,8.6012,11.1951,9.2607,8.5642,7.87
Badoc,375.68,233.43,-,-,8.6297,10.3622,0,11.5228,10.5988,10.3857,8.1871,8.3816
Bagabag,226.82,140.94,-,12.6998,9.1538,6.9421,0,9.6415,9.4681,9.1262,7.8383,7.8798
Bagac,62.73,38.98,11.1645,9.3101,11.0795,5.4594,0,10.9738,10.632,9.4709,10.8794,8.2384
Bagamanoc,364.19,226.3,-,-,-,6.5287,0,8.0233,7.9394,7.6577,3.0384,4.9328
Baganga,988.84,614.43,9.3735,9.7847,10.0822,10.7536,0,11.0293,10.6494,10.0706,8.2301,9.5508
