LGUs,Distance (km),Distance (mi)
Dumangas,457.65,284.37
Dumanjug,569.68,353.99
Dumaran,469.79,291.92
Dumarao,418.22,259.87
Dumingag,759.95,472.21
Dupax Del Norte,192.07,119.34
Dupax Del Sur,192.57,119.66
E. B. Magalona,465.63,289.33
Echague,247.72,153.93
El Nido,415.69,258.3
El Salvador,773.16,480.42
Enrile,340.07,211.31
Enrique Villanueva,657.84,408.76
Escalante,498.08,309.49
Esperanza (AS),831.26,516.52
Esperanza (MS),459.38,285.44
Esperanza (SK),957,594.65
Estancia,420.31,261.17
Famy,53.64,33.33
Ferrol,269.37,167.38
Flora,405.68,252.08
Floridablanca,64.94,40.35
Gabaldon,107.37,66.72
Gainza,257.18,159.8
Galimuyod,294.25,182.84
Gamay,527.31,327.66
Gamu,289.42,179.84
Ganassi,827.86,514.41
Gandara,503.93,313.13
Gapan,81.06,50.37
Garchitorena,303.87,188.81
Garcia-Hernandez,659.78,409.97
Gasan,168.63,104.78
Gattaran,393.77,244.68
Gen S.K Pendatun,949.22,589.82
Gen. Emilio Aguinaldo,48.02,29.84
Gen. Mariano Alvarez,32.28,20.06
General Luna (SN),776.46,482.47
General Luna (QN),163.48,101.58
General Macarthur,618.22,384.15
General Mamerto Natividad,113.77,70.7
General Nakar,73.83,45.87
General Santos,1047.46,650.86
General Tinio,85.55,53.16
General Trias,28.06,17.43
Gerona,120.83,75.08
Getafe,601.75,373.91
Gigaquit,756.59,470.12
Gigmoto,378.89,235.43
Ginatilan,612.55,380.62
Gingoog,782.18,486.03
Giporlos,619.18,384.74
Gitagum,763.33,474.31
Glan,1078.27,670.01
Gloria,186.95,116.16
Goa,288.12,179.03
Godod,759.49,471.93
Gonzaga,423.47,263.13
Governor Generoso,1042.58,647.83
Gregorio Del Pilar,285.9,177.65
Guagua,56.3,34.99
Gubat,386.93,240.43
Guiguinto (BU),28.12,17.47
Guihulngan,555.41,345.12
Guimba,122.23,75.95
Guimbal,459.68,285.63
Guinayangan,162.56,101.01
Guindulman,657.94,408.83
Guindulungan,925.87,575.31
Guinobatan,322.97,200.69
Guinsiliban,735.67,457.13
Guipos,801.87,498.26
Guiuan,648.8,403.14
Gumaca,141.68,88.04
Gutalac,751.56,467
Hadji Mohammad Ajul,895.98,556.74
Hadji Muhtamad,885.34,550.13
Hadji Panglima Tahil,933.34,579.95
Hagonoy (BU),37.48,23.29
Hagonoy (DS),997.64,619.91
Hamtic,445.24,276.66
Hermosa,57.42,35.68
Hernani,620.01,385.26
Hilongos,621.85,386.4
Himamaylan,538.63,334.69
Hinabangan,546.79,339.76
Hinatuan,902.09,560.53
Hindang,615.41,382.4
Hingyon,253.16,157.31
Hinigaran,521.32,323.94
Hinunangan,653.43,406.03
Hinobaan,577.12,358.61
Hinundayan,660.85,410.63
Hungduan,244.62,152
Iba,138.93,86.33
Ibaan,86.61,53.82
Ibajay,333.35,207.14
Igacos,941.45,591.2
Igbaras,452.05,280.89
Iguig,361.73,224.77
Ilagan,301.34,187.25
Iligan,790.79,491.38
Ilog,543,337.41
Iloilo,465.92,289.51
Imelda,800.86,497.63
Impasug-Ong,824.53,512.34
Imus,17.99,11.18
Inabanga,607.21,377.3
Indanan,955.45,593.69
Indang,44.19,27.46
Infanta (PS),178.35,110.82
Infanta (QN),74.98,46.59
Initao,767.74,477.05
Inopacan,610.81,379.54
Ipil,776.45,482.46
Iriga,292.83,181.96
Irosin,391.11,243.02
Isabel,"1,131.16",702.87
Isabela (BAS),811.03,503.95
Isabela (NO),"1,090.18",677.41
Isulan,967.94,601.45
Itbayat,696.06,432.51
Itogon,201.67,125.31
Ivana,652.54,405.47
Ivisan,387.84,240.99
Jabonga,764.99,475.35
Jaen,82.87,51.5
Jagna,660.67,410.52
Jalajala,45.24,28.11
Jamindan,390.14,242.42
Janiuay,436.82,271.43
Jaro,559.25,347.5
Jasaan,777.14,482.89
Javier,876.54,544.66
Jiabong,532.45,330.85
Jimalalud,566.09,351.75
Jimenez,762.99,474.1
Jipapad,524.15,325.69
Jolo,948.13,589.14
Jomalig,146.45,91
Jones,233.04,144.8
Jordan,474.28,294.71
Jose Abad Santos,1108.93,689.06
Jose Dalman,718.11,446.21
Jose Panganiban,187.78,116.68
Josefina,761.3,473.05
Jovellar,329.65,204.83
Juban,378.77,235.36
Julita,589.76,366.46
Kabacan,930.93,578.46
Kabankalan,548.32,340.71
Kabasalan,778.76,483.9
Kabayan,227.49,141.36
Kabugao,382.31,237.55
Kabuntalan,907.88,564.13
Kadingilan,887.23,551.3
Kalamansig,954.03,592.81
Kalawit,760.83,472.76
Kalayaan (LA),69.59,43.24
Kalayaan (PN),565.01,351.08
