PROVINCE / LGU,Distance (km),Distance (mi),2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Badiangan,434.74,270.13,-,-,-,6.8442,0,14.4594,14.6505,11.6658,10.4308,9.9654
Badoc,375.68,233.43,-,-,-,15.134,0,16.8957,17.0117,13.7976,11.3744,11.5769
Bagabag,226.82,140.94,-,-,-,15.9829,0,16.5653,16.7724,13.1459,11.3461,11.4122
Bagac,62.73,38.98,-,-,-,12.19,0,15.0487,16.3804,13.3661,10.3004,10.2982
Bagamanoc,364.19,226.3,-,-,-,13.1532,0,15.1126,13.7764,12.5131,10.6482,10.7857
Baganga,988.84,614.43,-,-,-,15.6664,0,16.8718,17.0771,13.4993,11.3979,11.4418
Bago,494.58,307.32,-,-,-,16.7169,16.7495,16.7067,16.6555,13.5239,10.4772,11.4079
Baguio,207.78,129.11,-,-,-,17.5034,16.8379,16.4414,16.6571,14.1123,11.7789,12.3412
Bagulin,232.47,144.45,-,-,-,13.084,0,16.9838,17.6173,13.8351,11.5313,12.4187
Bagumbayan,976.63,606.85,-,-,-,16.251,0,16.8425,17.0531,13.3483,11.3603,11.4744
Bais,603.87,375.22,-,-,-,16.5864,16.3433,16.6907,13.3595,10.9152,11.423,10.4608
Bakun,251.89,156.51,-,-,-,2.5,0,11.4833,12.6711,11.0286,10.8838,10.7231
Balabac,855.5,531.58,-,-,-,-,0,2.2959,11.3816,12.2726,11.5194,11.2124
Balabagan,853.86,530.56,-,-,-,-,-,-,-,13.4704,11.3762,10.3448
Balamban,542.16,336.88,-,-,-,16.8425,0,16.9717,17.2082,13.5552,11.4839,11.3443
Balanga,48.49,30.13,-,-,-,16.4569,17.5899,16.9912,16.8116,13.518,11.1921,11.483
Balangiga,614.67,381.94,-,-,-,6.2378,0,14.9954,11.5392,9.6294,8.369,9.3706
Balangkayan,600.9,373.38,-,-,-,14.8743,0,15.1031,15.161,10.293,9.7602,9.6008
Balaoan,256.25,159.23,-,-,-,16.149,0,16.7492,17.0259,13.581,11.7307,11.7819
Balasan,415.61,258.25,-,-,-,13.1409,0,14.3336,16.7659,13.6482,11.2635,11.3681
Balatan,281.96,175.2,-,-,-,14.3057,0,12.8735,12.6041,11.0818,10.3786,9.6626
Balayan,76.35,47.44,-,-,-,15.0165,0,15.6763,15.9383,13.4275,11.386,11.4827
Balbalan,322.96,200.67,-,-,-,15.4623,0,14.65,16.7988,13.339,11.2749,11.2478
Baleno,359.68,223.5,-,-,-,13.3598,0,12.6121,12.0101,11.5165,9.754,7.6387
Baler,145.4,90.35,-,-,-,17.0933,0,17.2729,17.2337,13.885,11.902,11.7695
Balete (AK),371.2,230.65,-,-,-,14.3633,0,15.7377,15.407,10.8533,10.7236,10.2079
Balete (BS),85.87,53.36,-,-,-,15.6522,0,15.1648,15.3298,11.5384,9.8734,11.1802
Baliangao,718.01,446.15,-,-,-,11.4183,0,15.7583,15.8335,12.5216,9.9191,9.8776
Balilihan,627.79,390.09,-,-,-,13.3164,0,16.6514,16.3355,11.5078,11.2508,11.2226
Balindong,820.72,509.97,-,-,-,-,-,-,-,12.7367,10.344,10.8216
Balingasag,770.17,478.56,-,-,-,16.1064,0,16.539,16.986,13.4015,11.4392,11.4201
Balingoan,749.76,465.88,-,-,-,11.4969,0,16.14,17.1486,13.6775,9.6466,10.7659
Baliwag,42.11,26.17,-,-,-,17.0864,0,18.6313,18.96,15.7329,13.0196,12.8725
Ballesteros,429.62,266.95,-,-,-,15.6925,0,16.473,16.557,13.3126,7.6359,11.0416
Baloi,801.18,497.83,-,-,-,0,0,15.5279,17.1527,12.3746,10.3973,11.4747
Balud,371.2,230.65,-,-,-,-,-,14.5142,15.9107,11.5314,10.781,8.2238
Balungao,149.8,93.08,-,-,-,11.8273,0,16.8527,16.924,14.6104,11.6122,11.5877
