PROVINCE / LGU,Distance (km),Distance (mi),2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Balilihan,627.79,390.09,-,8.121,8.5157,3.5311,0,4.1659,6.1406,5.5771,4.6407,3.9039
Balindong,820.72,509.97,-,-,-,-,-,-,-,3.7018,4.5423,4.161
Balingasag,770.17,478.56,-,7.1747,7.1728,4.738,0,3.8624,3.9358,4.8734,4.1946,3.5656
Balingoan,749.76,465.88,-,7.2049,7.8322,3.6498,0,3.9799,4.4482,8.2343,4.4684,3.2194
Baliwag,42.11,26.17,8.8904,8.1784,9.2017,5.4021,0,7.3768,7.6633,8.8955,6.912,6.4308
Ballesteros,429.62,266.95,-,-,5.4492,2.9915,0,1.9937,5.4681,3.9446,4.8405,3.3828
Baloi,801.18,497.83,-,4.7712,4.7602,1.7844,0,6.0771,8.3677,7.689,3.7513,3.2521
Balud,371.2,230.65,-,-,-,-,-,2.3704,3.6092,3.2608,2.8332,1.2848
Balungao,149.8,93.08,-,-,5.9532,4.3463,0,4.9901,6.2958,5.4567,5.6182,4.1218
Bamban,88.51,55,-,-,4.9279,3.3883,0,2.3602,3.0647,2.8321,3.1463,2.6646
Bambang,201.41,125.15,7.0218,9.9999,7.4234,5.3117,0,4.1479,4.6598,4.029,4.8254,3.8297
Banate,445.54,276.85,-,8.4648,6.3752,4.0832,0,4.7058,6.1253,5.4762,5.1241,4.132
Banaue,259.2,161.06,-,9.5328,8.7538,3.7637,0,4.899,4.4991,4.453,4.9719,3.8512
Banaybanay,1009.21,627.1,-,5.5601,5.2819,3.513,0,2.9386,4.7062,4.5967,4.0274,2.7638
Banayoyo,299.86,186.32,-,5.5515,6.4537,4.1109,0,4.4105,5.2367,4.0982,4.0301,2.3332
Banga (AK),364.31,226.37,-,9.4697,9.1888,4.3541,0,5.2219,4.1833,5.2774,5.0013,4.0938
Banga (SC),998.93,620.71,6.6174,7.989,7.1728,4.1433,0,3.3108,3.6321,5.0723,4.0509,3.2207
Bangar,187.94,116.78,-,-,6.9189,4.0146,0,6.6739,8.0126,7.3539,5.7492,5.6528
Bangued,337.38,209.64,9.569,9.2743,9.0921,4.8065,0,5.1297,4.648,5.9544,4.9638,3.9355
Bangui,440.41,273.66,6.5958,7.8132,7.9766,2.9379,0,4.771,5.6042,5.3511,5.297,3.9546
Bani,212.62,132.12,-,5.4217,7.2791,4.3605,0,3.2252,3.9212,4.1965,4.0052,2.7532
Banisilan,885.27,550.08,6.4733,7.0619,6.4,3.608,0,2.9828,4.7495,3.8218,3.9186,3.2217
Bansalan,982.54,610.52,5.3238,7.3965,5.5351,6.4262,0,4.0083,3.8945,5.0793,4.2137,3.0888
Bansud,198.24,123.18,-,6.9929,7.1356,3.8853,0,4.1748,2.8925,3.9365,4.0596,2.1768
Bantay,339.61,211.03,-,6.3322,7.7441,4.7654,0,8.1293,9.7087,8.8498,5.0984,6.5259
Bantayan Island,497.59,309.19,7.2121,7.0857,7.2853,4.2475,0,3.8601,5.0201,5.604,4.6494,3.0068
Banton,217.65,135.24,-,-,-,-,0,2.7533,2.882,4.0863,2.7813,3.4497
Baras (CT),380.69,236.55,-,-,-,-,-,2.8007,2.7212,3.9172,3.6514,5.4426
Baras (RL),32.55,20.22,-,11.3251,9.183,5.4705,0,6.5539,8.4265,6.5854,7.4972,5.9526
Barbaza,392.55,243.92,-,-,3.1085,1.9134,0,2.5553,5.186,4.0299,4.3324,2.591
Barcelona,392.47,243.87,-,-,6.15,3.6203,0,4.0218,4.2265,5.7507,3.9027,6.4606
Barili,567.7,352.75,-,7.5411,7.2191,3.8586,0,3.5421,4.4808,5.2493,4.2874,2.609
Barira,872.53,542.16,-,-,-,-,-,-,-,3.3847,4.0975,3.0684
Barlig,277.58,172.48,-,-,4.3193,1.7881,0,4.137,3.7621,4.57,3.351,2.4158
Barobo,874.38,543.32,6.695,7.1804,8.4981,4.4405,0,6.0178,6.5569,6.5952,5.7401,4.6674
Barotac Nuevo,450.47,279.91,-,8.2698,5.5177,3.8199,0,3.7319,4.7444,4.7712,4.181,3.4009
Barotac Viejo,443.91,275.83,-,6.3957,6.211,3.2647,0,4.9974,6.3352,6.1555,4.0022,3.2288
Baroy,790.48,491.18,-,10.5849,11.6838,3.6353,0,3.9101,4.8378,4.6523,4.698,3.7237
Barugo,545.15,338.74,-,3.1091,8.618,4.1515,0,4.201,4.9882,5.5199,4.7081,3.5823
Basay,602.73,374.52,-,5.3404,7.6404,3.3265,0,3.8254,5.824,5.2457,4.8912,4.3215
Basco,658.94,409.45,4.7715,8.2587,6.5714,3.7632,0,4.7715,7.124,6.4448,6.196,6.355
Basey,575.93,357.86,4.3391,3.372,6.9155,5.102,0,2.7048,4.3684,3.3462,3.8026,2.6144
Basilisa,704.92,438.02,-,9.7771,6.9354,3.7917,0,4.4729,4.1617,4.7624,5.1719,3.1979
Basista,154.15,95.78,-,8.2132,8.9459,4.8583,0,4.4505,6.0699,5.5488,5.4698,3.9952
Basud (CN),222.17,138.05,-,-,7.2529,3.5017,0,3.4948,5.1703,3.4913,4.4239,3.0852
Batac,388.8,241.59,7.1625,7.9379,8.0972,3.2496,3.8886,3.4359,5.1768,4.4474,3.72,3.1942
Batad,421.23,261.74,-,5.8204,5.7186,3.1825,0,4.4531,5.3812,5.3385,4.0573,3.8052
Batan,377.14,234.34,-,-,-,3.5892,0,4.3552,5.039,4.2508,4.5633,3.7381
Batangas,91.15,56.64,9.4975,12.4152,14.5967,7.8937,8.9128,10.3264,10.5238,10.3217,8.1298,7.0511
Bataraza,750.77,466.51,-,6.0884,6.7729,4.0494,0,3.5267,3.8,4.6575,4.4275,2.7671
Bato (CS),292.77,181.92,-,-,5.3604,1.9688,0,2.8788,2.302,2.0775,1.0314,3.287
Bato (CT),374.84,232.91,-,-,5.97,4.015,0,4.2384,6.3382,4.9808,5.5101,4.3213
Bato (LE),568.46,353.22,-,0.7255,8.7942,4.8349,0,5.2372,5.8441,6.8213,5.5351,4.6843
Batuan (BL),636.98,395.8,-,7.0223,6.1968,2.8463,0,3.8956,6.3594,6.4771,4.5474,5.8816
Batuan (MS),388.2,241.21,-,-,-,-,-,1.4256,4.0258,4.1743,0.933,2.0556
Bauan,88.06,54.72,11.6362,8.7042,8.9672,5.7968,0,4.8982,5.058,5.9128,4.9051,3.8693
Bauang,227.29,141.23,7.7854,10.8891,8.2572,5.4451,0,5.0559,6.1661,6.1464,4.9383,4.5981
Bauko,267.08,165.96,-,4.6563,6.1392,3.3847,0,5.7027,5.7934,5.8208,5.4277,3.3865
Baungon,801.12,497.79,-,6.5127,6.6486,4.2563,0,3.4083,3.6146,4.6684,4.0103,2.8762
Bautista,167.85,104.29,-,4.8563,7.1262,4.5626,0,4.5269,5.6577,5.2236,5.8124,3.6676
Bay,57.13,35.5,-,4.222,6.2998,4.7704,0,2.9721,4.5472,3.9705,6.2738,4.2466
Bayabas,850.38,528.4,-,4.6475,5.5629,3.3511,0,3.8269,5.8227,5.539,4.0378,3.4049
Bayambang,147.33,91.55,-,6.8247,7.4655,4.7926,0,3.8687,4.7382,5.4372,4.7114,3.7813
Bayang,832.85,517.51,-,-,-,-,-,-,-,3.4467,2.7768,1.4114
Bayawan,613.39,381.14,7.5598,8.0249,6.9185,4.297,4.8869,2.9422,5.2995,5.2609,3.859,3.5218
Baybay,600.52,373.15,6.6751,5.8548,8.2762,4.6032,4.2461,3.8614,5.0869,4.7666,3.0137,3.0897
Bayog,779.16,484.15,-,7.9979,10.4656,3.7919,0,3.9487,6.1743,5.2503,5.307,3.4158
Bayombong,213.61,132.73,7.9907,8.7934,7.0825,6.3577,0,4.6937,5.1866,4.3584,4.7333,4.0585
Bayugan,834.06,518.26,8.4391,6.731,6.2763,4.122,4.7494,4.0793,6.6377,6.3375,3.5139,3.2484
Belison,429.79,267.06,-,4.3387,2.5628,2.9123,0,4.7457,6.7372,6.2381,5.4811,5.4245
Benito Soliven,287.26,178.49,-,-,-,2.3686,0,4.7436,5.5354,3.3364,4.9871,3.7561
Besao,279.72,173.81,-,-,4.4777,2.2542,0,4.4088,3.9684,4.537,3.2302,2.2832
Bien Unido,617.09,383.44,-,6.1996,7.9841,2.7802,0,3.6743,5.6432,5.2103,4.3498,3.4031
Bilar,641.64,398.7,-,7.6837,7.8178,3.0131,0,4.1671,6.1732,6.3037,4.6118,3.4622
Biliran,513.55,319.11,-,-,-,3.1278,0,3.2178,5.0285,6.1061,3.8793,3.8424
Binalbagan,529.03,328.73,7.9289,8.1858,6.4575,6.7268,0,3.5361,3.6356,4.3579,4.0443,3.877
Binalonan,168,104.39,4.5396,7.7228,7.7333,4.5103,0,3.302,4.31,4.6558,4.3889,3.095
Binan,29.55,18.36,5.5458,12.5113,15.954,8.8855,10.003,7.1665,10.009,9.3553,8.5726,8.8461
Binangonan,26.69,16.58,7.5696,10.8004,10.6349,6.1632,0,6.5562,6.4836,7.3025,7.2241,6.7572
Bindoy,584.81,363.39,-,6.444,6.4021,3.9332,0,4.3187,6.4552,5.3831,5.0923,3.3646
Bingawan,410.57,255.12,-,5.0813,4.4631,3.3468,0,4.7712,6.0895,5.8897,4.5406,4.4553
Binidayan,830.98,516.35,-,-,-,-,-,-,-,2.9258,3.942,2.7744
Binmaley,177.72,110.43,-,7.6838,6.6676,4.5332,0,3.1775,4.1268,4.5093,4.2818,3.258
Binuangan,753.74,468.35,-,5.2766,6.2928,3.3736,0,4.384,3.5728,4.9744,3.4054,1.9723
Biri,421.68,262.02,-,-,-,2.8583,0,2.0881,3.0502,4.1352,3.5613,1.7904
