PROVINCE / LGU,Distance (km),Distance (mi),2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Calasiao,171.82,106.76,-,-,-,-,-,-,-,-,4.5456,5.4103
Calatagan,91.14,56.63,-,-,-,-,-,-,-,-,3.4458,5.2918
Calatrava (NO),520.93,323.69,-,-,-,-,-,-,-,-,1.4048,0.7267
Calatrava (RN),249.38,154.96,-,-,-,-,-,-,-,-,4.978,4.4375
Calauag,157.55,97.9,-,-,-,-,-,-,-,-,1.8032,5.8964
Calauan,60.73,37.74,-,-,-,-,-,-,-,-,3.3953,5.9679
Calayan,523.66,325.39,-,-,-,-,-,-,-,-,0.927,0.7869
Calbayog,480.95,298.85,-,-,-,-,-,-,-,-,7.1479,5.1868
Calbiga,547.37,340.12,-,-,-,-,-,-,-,-,2.7863,2.7905
Calinog,420.25,261.13,-,-,-,-,-,-,-,-,4.5462,4.8205
Calintaan,220.77,137.18,-,-,-,-,-,-,-,-,3.0435,5.0516
Calubian,510.96,317.49,-,-,-,-,-,-,-,-,2.0652,2.0652
Calumpit,42.9,26.65,-,-,-,-,-,-,-,-,3.8078,5.5292
Caluya,308.01,191.39,-,-,-,-,-,-,-,-,3.4177,2.3788
Camalaniugan,416.22,258.63,-,-,-,-,-,-,-,-,5.4107,5.4842
Camalig,328.75,204.28,-,-,-,-,-,-,-,-,5.0434,4.1695
Camaligan,258.91,160.88,-,-,-,-,-,-,-,-,4.1623,6.4231
Camiling,136.82,85.01,-,-,-,-,-,-,-,-,4.4892,4.8022
Can-Avid,563,349.83,-,-,-,-,-,-,-,-,7.2154,7.9048
Canaman,258.63,160.71,-,-,-,-,-,-,-,-,3.0841,5.1714
Candaba,58.84,36.56,-,-,-,-,-,-,-,-,4.4455,4.8602
Candelaria (QN),88.02,54.7,-,-,-,-,-,-,-,-,4.6791,8.1417
Candelaria (ZA),160.8,99.92,-,-,-,-,-,-,-,-,1.8021,0.7834
Candijay,653.5,406.07,-,-,-,-,-,-,-,-,3.5152,3.695
Candon,295.6,183.68,-,-,-,-,-,-,-,-,5.9799,7.8005
Candoni,558.59,347.09,-,-,-,-,-,-,-,-,1.0435,1.7324
Canlaon,526.24,326.99,-,-,-,-,-,-,-,-,3.3414,5.0283
Cantilan,799.53,496.8,-,-,-,-,-,-,-,-,1.4419,2.0183
Caoayan,335.71,208.6,-,-,-,-,-,-,-,-,4.4527,3.9125
Capalonga,165.96,103.12,-,-,-,-,-,-,-,-,4.3986,5.1035
Capas,93.78,58.27,-,-,-,-,-,-,-,-,4.3449,2.4224
Capoocan,540.13,335.62,-,-,-,-,-,-,-,-,4.1015,2.0975
Capul,421.06,261.64,-,-,-,-,-,-,-,-,0.04,0.0833
Caraga,1011.19,628.32,-,-,-,-,-,-,-,-,3.6838,1.4003
Caramoan,324.2,201.45,-,-,-,-,-,-,-,-,3.7096,3.7137
Caramoran,348.42,216.5,-,-,-,-,-,-,-,-,3.7675,1.7903
Carasi,403.32,250.61,-,-,-,-,-,-,-,-,0.8334,2.9953
Carcar,576.08,357.96,-,-,-,-,-,-,-,-,5.2031,0.8671
Cardona,29.6,18.39,-,-,-,-,-,-,-,-,7.4442,7.5246
Carigara,543.37,337.64,-,-,-,-,-,-,-,-,0.7183,2.7937
Carles,416.88,259.04,-,-,-,-,-,-,-,-,3.6857,2.7217
Carmen (AN),780.41,484.92,-,-,-,-,-,-,-,-,3.7823,3.8617
Carmen (BL),635.36,394.79,-,-,-,-,-,-,-,-,3.7557,1.7106
Carmen (CU),554.42,344.5,-,-,-,-,-,-,-,-,0.3478,1.0448
Carmen (DN),955.9,593.97,-,-,-,-,-,-,-,-,6.6541,8.7299
Carmen (NC),921.28,572.46,-,-,-,-,-,-,-,-,2.7384,5.1873
