PROVINCE / LGU,Distance (km),Distance (mi),2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Bagac,62.73,38.98,5.7151,6.2433,7.1863,6.5953,0,5.6495,5.4788,5.3197,3.0484,2.9511
Bagamanoc,364.19,226.3,-,-,-,5.3214,0,4.4145,4.9202,5.6053,1.9875,3.8702
Baganga,988.84,614.43,6.5814,7.5047,7.3942,5.8611,0,5.4536,5.3951,5.5373,2.0892,2.5647
Bago,494.58,307.32,7.3542,8.2951,6.8418,6.4714,6.2131,5.3727,4.5678,5.3979,3.0478,3.6044
Baguio,207.78,129.11,10.6704,8.9262,8.3132,6.1056,5.4724,5.8628,5.8129,5.2097,3.4176,4.4246
Bagulin,232.47,144.45,-,-,6.7619,5.6032,0,4.0923,4.6859,5.9831,2.8764,4.574
Bagumbayan,976.63,606.85,3.8166,7.0132,7.4223,5.6988,0,5.2222,5.0494,5.1877,1.8521,2.1141
Bais,603.87,375.22,6.1339,8.0764,8.6192,6.5417,6.925,5.8646,5.594,5.69,3.362,3.3116
Bakun,251.89,156.51,-,4.6192,7.0609,5.3006,0,4.9203,4.2755,5.0263,2.2256,1.9072
Balabac,855.5,531.58,-,-,-,-,0,1.3505,2.8682,3.5311,0.7767,1.2777
Balabagan,853.86,530.56,-,-,-,-,-,-,-,4.7924,2.581,2.3571
Balamban,542.16,336.88,8.8353,8.2789,7.858,6.4036,0,6.5484,6.4025,6.2223,2.6571,3.0844
Balanga,48.49,30.13,9.9752,11.5055,10.3433,7.9114,8.007,6.7944,6.7802,7.327,4.4524,5.046
Balangiga,614.67,381.94,-,0.1217,6.8814,4.0379,0,3.4729,3.1017,5.2927,2.7881,2.0965
Balangkayan,600.9,373.38,-,-,-,3.0629,0,4.8013,5.2308,4.1059,2.0345,3.6173
Balaoan,256.25,159.23,-,7.1261,10.0969,5.5271,0,5.6249,5.3832,5.0031,2.1335,2.5324
Balasan,415.61,258.25,-,3.5226,7.0767,6.1538,0,5.5429,6.5069,6.321,3.1043,3.2674
Balatan,281.96,175.2,-,-,5.5337,5.8302,0,4.6671,4.5282,2.2686,2.6216,2.731
Balayan,76.35,47.44,8.8678,11.2918,10.3047,6.5293,0,5.8348,6.2974,5.5944,2.9381,3.4853
Balbalan,322.96,200.67,-,8.0327,8.1215,5.7172,0,5.0654,4.6099,4.738,2.5366,2.1256
Baleno,359.68,223.5,-,-,5.0029,5.6763,0,4.4404,3.0853,1.2249,2.5082,1.8363
Baler,145.4,90.35,8.1505,14.142,12.9816,9.6643,0,6.9882,7.9519,8.1431,4.8712,4.9393
Balete (AK),371.2,230.65,-,-,11.494,6.5726,0,4.6901,5.1717,5.0512,2.9731,2.476
Balete (BS),85.87,53.36,-,-,7.7086,5.722,0,5.548,6.1542,6.4015,3.4477,5.0963
Baliangao,718.01,446.15,-,0,3.971,4.8615,0,4.893,4.705,5.023,2.5915,3.8214
Balilihan,627.79,390.09,-,8.1771,8.562,5.6894,0,5.8199,5.6578,5.6651,2.719,2.6556
Balindong,820.72,509.97,-,-,-,-,-,-,-,3.2656,2.546,2.3326
Balingasag,770.17,478.56,-,8.4928,8.6773,6.7619,0,5.9688,6.2219,5.8044,2.4677,2.9345
Balingoan,749.76,465.88,-,7.7157,9.7042,6.3862,0,4.7365,6.3021,5.7994,2.7847,1.957
Baliwag,42.11,26.17,4.5969,6.3804,6.9503,8.6232,0,10.473,10.4847,10.5071,4.5665,4.8799
Ballesteros,429.62,266.95,-,-,2.9586,5.1993,0,4.4115,5.0105,4.0956,2.8207,2.8929
Baloi,801.18,497.83,-,0,1.1986,2.9662,0,3.9659,5.028,4.7906,2.527,2.9032
Balud,371.2,230.65,-,-,-,-,-,4.3173,4.4365,4.0867,2.5582,2.3086
Balungao,149.8,93.08,-,-,6.8406,6.1449,0,5.5072,5.2663,5.6213,3.2348,2.893
Bamban,88.51,55,-,-,3.9574,0.3701,0,5.3862,5.5504,5.2699,2.0876,2.5724
Bambang,201.41,125.15,2.9661,5.0663,7.7515,5.4834,0,5.6589,5.1699,6.3479,2.0392,2.1763
Banate,445.54,276.85,-,9.2329,9.1157,6.1191,0,5.5053,5.8309,5.7595,2.7621,2.576
Banaue,259.2,161.06,-,9.6258,8.8473,5.9005,0,4.7091,4.9509,4.6181,2.9593,3.2643
Banaybanay,1009.21,627.1,-,0,3.6372,1.4701,0,5.022,4.2563,5.0693,2.0796,2.492
Banayoyo,299.86,186.32,-,6.3871,8.5439,5.7197,0,3.9077,3.4435,3.6727,2.4444,2.1115
Banga (AK),364.31,226.37,-,0,8.4419,5.9598,0,5.7415,5.8204,5.1626,3.0736,3.1703
Banga (SC),998.93,620.71,8.0014,8.0935,8.183,6.201,0,5.8869,5.8391,5.4505,1.9685,2.5466
Bangar,187.94,116.78,-,-,8.0157,6.425,0,4.7141,4.6277,4.5504,3.1516,2.8845
Bangued,337.38,209.64,9.1024,8.4515,8.4255,6.2092,0,5.6812,5.75,5.5348,2.0627,2.653
Bangui,440.41,273.66,9.1204,6.6073,7.9825,5.9926,0,5.6951,5.5481,6.1785,3.0733,3.0275
Bani,212.62,132.12,-,7.0729,6.8004,5.1473,0,5.169,5.1062,4.5392,1.8978,2.3788
Banisilan,885.27,550.08,3.8436,3.5015,6.182,4.8058,0,5.0529,4.686,4.7961,1.7204,1.8432
Bansalan,982.54,610.52,7.5431,5.4994,9.6624,5.5454,0,6.2821,7.4795,6.0215,2.7766,3.2121
Bansud,198.24,123.18,-,2.7448,5.1753,4.0172,0,3.537,4.7186,4.6685,1.5377,2.027
Bantay,339.61,211.03,-,6.1718,9.1632,6.0545,0,5.5498,6.7342,7.4385,4.055,4.0587
Bantayan Island,497.59,309.19,7.8834,7.6306,7.3134,5.9316,0,5.7521,5.9372,5.43,2.5107,2.8702
Banton,217.65,135.24,-,-,-,-,0,1.5204,3.2264,3.8419,1.3361,2.3524
Baras (CT),380.69,236.55,-,-,-,-,-,5.8052,6.4359,5.7078,2.6676,2.5095
Baras (RL),32.55,20.22,-,9.2722,9.8476,6.7996,0,6.2552,5.9537,5.9282,3.7278,3.5648
Barbaza,392.55,243.92,-,-,4.1376,2.5491,0,5.158,5.3603,4.929,2.4987,2.4719
Barcelona,392.47,243.87,-,-,9.8605,2.7425,0,5.1916,6.2968,5.7167,2.6571,3.7917
Barili,567.7,352.75,-,7.9516,7.6704,7.2727,0,5.7796,5.7325,5.0124,2.1551,2.5429
Barira,872.53,542.16,-,-,-,-,-,-,-,4.4606,2.4678,2.3391
Barlig,277.58,172.48,-,-,6.208,4.7718,0,4.5817,5.3282,4.6441,1.8426,3.1768
Barobo,874.38,543.32,7.2278,9.066,8.6771,6.617,0,5.0907,5.3249,6.0196,2.9628,2.9863
Barotac Nuevo,450.47,279.91,-,7.8116,8.3385,5.8233,0,6.0245,6.0686,5.725,2.3903,2.7375
Barotac Viejo,443.91,275.83,-,8.6641,10.1604,5.0612,0,4.8858,5.3348,6.1838,0.4256,2.7275
Baroy,790.48,491.18,-,3.8161,9.0244,6.556,0,5.749,5.6249,4.9371,2.8032,2.7461
Barugo,545.15,338.74,-,5.5511,10.7216,4.9127,0,4.29,4.4388,5.4119,2.7986,2.4798
Basay,602.73,374.52,-,4.2701,6.6822,4.833,0,5.0523,4.8251,5.0384,2.4571,2.7306
Basco,658.94,409.45,1.7468,7.7862,9.4282,6.94,0,6.6141,8.8944,7.9015,3.5469,5.5464
Basey,575.93,357.86,7.5442,7.1682,8.0695,6.0358,0,4.591,5.2733,5.268,2.1869,2.6997
Basilisa,704.92,438.02,-,8.6693,8.1499,3.392,0,3.8637,4.2863,4.6956,1.3184,2.179
Basista,154.15,95.78,-,8.6869,8.2259,5.9634,0,5.3222,5.2475,5.4336,2.7613,2.8726
Basud (CN),222.17,138.05,-,-,7.8677,4.884,0,5.4594,5.3754,6.3628,3.1411,2.6916
Batac,388.8,241.59,9.7889,9.4253,9.7232,6.7115,9.153,5.7979,5.6333,6.2123,4.1283,4.0269
Batad,421.23,261.74,-,3.3236,8.4804,4.8591,0,5.2167,6.7506,6.9127,3.1055,5.3726
Batan,377.14,234.34,-,-,-,6.2106,0,4.9456,4.9872,4.9366,2.5249,2.6206
Batangas,91.15,56.64,8.9913,12.1153,12.3243,9.6579,9.3635,9.4485,9.2642,8.9481,5.3983,5.6833
Bataraza,750.77,466.51,-,6.0321,7.9667,5.6239,0,4.771,4.9797,4.3641,2.3863,2.7907
Bato (CS),292.77,181.92,-,-,3.0096,1.2922,0,0.7904,0.8675,4.2073,2.5506,2.8254
Bato (CT),374.84,232.91,-,-,8.0335,7.1996,0,6.3909,8.1424,8.5989,4.3035,5.7242
Bato (LE),568.46,353.22,-,0.0457,5.7736,6.5342,0,5.6477,6.1534,5.0563,3.0555,2.4001
Batuan (BL),636.98,395.8,-,7.8175,9.1319,5.3976,0,5.2566,5.9522,6.4629,3.3057,4.8163
Batuan (MS),388.2,241.21,-,-,-,-,-,3.2521,3.5488,2.2219,1.5654,1.893
Bauan,88.06,54.72,9.2083,9.2701,9.8504,7.8945,0,6.6139,6.529,6.2501,2.7975,3.4659
Bauang,227.29,141.23,7.5506,8.5099,8.3389,6.4638,0,5.8072,5.6507,5.4821,2.3349,2.9598
Bauko,267.08,165.96,-,0,7.6661,6.9654,0,4.8702,5.7276,4.9118,2.9772,2.5897
Baungon,801.12,497.79,-,7.4565,7.459,5.654,0,4.7728,4.8877,4.985,2.1465,2.5058
Bautista,167.85,104.29,-,4.9277,7.4823,5.6903,0,5.3048,4.0808,5.7387,2.9297,2.9362
Bay,57.13,35.5,-,0.5798,8.0229,5.6885,0,5.4373,5.5311,4.9065,2.4923,2.7503
Bayabas,850.38,528.4,-,5.7899,4.9422,5.1309,0,5.2531,4.7288,6.3595,2.1217,3.2873
Bayambang,147.33,91.55,-,6.6722,7.1794,7.0077,0,6.3867,6.0829,5.8221,2.7515,3.2039
Bayang,832.85,517.51,-,-,-,-,-,-,-,1.542,0.6301,1.2726
Bayawan,613.39,381.14,5.9892,9.4604,9.461,6.6924,6.5358,5.9592,5.217,5.2984,3.4132,3.3626
Baybay,600.52,373.15,7.0769,7.9936,10.0722,5.167,6.7911,5.4134,5.608,5.8865,2.5414,3.868
Bayog,779.16,484.15,-,8.452,8.6822,5.9419,0,4.4418,4.3705,0.9748,2.4229,2.7776
Bayombong,213.61,132.73,2.6151,5.9645,5.7586,6.309,0,7.0698,6.3868,6.1353,2.3274,2.6139
Bayugan,834.06,518.26,8.6276,9.2304,9.7113,6.8155,6.8447,7.1004,6.4618,6.9412,3.3998,4.0518
Belison,429.79,267.06,-,6.4791,5.9848,5.0949,0,5.5999,6.852,5.6781,3.1068,4.2886
Benito Soliven,287.26,178.49,-,-,-,5.0293,0,5.1669,5.3482,5.5564,2.3007,2.2605
Besao,279.72,173.81,-,-,6.1092,4.2883,0,4.8341,5.3564,5.4208,2.4587,3.7355
Bien Unido,617.09,383.44,-,6.934,6.3963,5.537,0,4.8677,4.4897,4.2754,1.3066,2.5072
Bilar,641.64,398.7,-,8.1562,9.3992,6.2139,0,5.3543,5.2482,5.299,2.7753,2.7284
Biliran,513.55,319.11,-,-,-,4.3121,0,5.4238,6.592,7.0474,3.8583,4.7303
Binalbagan,529.03,328.73,7.1861,6.6102,7.5857,5.9269,0,6.0552,5.5684,5.0077,1.5743,2.7917
Binalonan,168,104.39,8.7347,8.6829,8.0417,6.3883,0,5.8706,5.6446,5.3028,2.3644,2.7634
Binan,29.55,18.36,0.6614,10.5275,11.6085,9.7901,9.9178,9.151,9.0842,8.6283,4.7505,4.7384
Binangonan,26.69,16.58,7.8223,10.6166,11.4405,8.7721,0,8.3204,8.0147,7.4808,4.0944,4.8564
Bindoy,584.81,363.39,-,7.7183,6.9602,3.3274,0,5.4312,5.269,5.3954,2.5667,0.6896
Bingawan,410.57,255.12,-,4.0587,6.1278,5.6166,0,4.9626,5.8543,4.9739,2.9729,3.3141
Binidayan,830.98,516.35,-,-,-,-,-,-,-,2.1719,2.4122,2.1351
