PROVINCE / LGU,Distance (km),Distance (mi),2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Bayog,779.16,484.15,-,29.5304,25.6777,31.7051,0,36.4647,39.024,27.7688,31.265,34.7543
Bayombong,213.61,132.73,28.637,31.023,23.4931,39.4544,0,39.7725,39.7414,31.5364,30.7951,34.5989
Bayugan,834.06,518.26,30.2956,31.2664,25.9271,35.665,37.4743,35.5012,39.7768,33.2594,30.2062,31.1362
Belison,429.79,267.06,-,17.9231,11.2815,22.8462,0,37.8072,40.8513,33.8929,33.1659,37.4698
Benito Soliven,287.26,178.49,-,-,-,22.7182,0,38.2271,38.6907,32.2427,29.4438,28.7111
Besao,279.72,173.81,-,-,19.3352,28.3774,0,33.1901,36.1063,31.6096,31.1095,30.1556
Bien Unido,617.09,383.44,-,22.5409,21.8418,31.7651,0,36.2888,35.1612,32.7662,26.4525,29.2237
Bilar,641.64,398.7,-,23.8452,29.2148,32.5271,0,36.8424,37.0455,31.5463,33.0475,22.3687
Biliran,513.55,319.11,-,-,-,30.4836,0,29.9562,36.5579,34.3138,33.5399,30.548
Binalbagan,529.03,328.73,28.8844,21.3702,23.834,34.6812,0,35.5301,35.2626,29.6794,30.7086,28.4854
Binalonan,168,104.39,30.2989,31.9716,28.8692,33.5371,0,35.0911,37.0696,32.0847,28.909,33.6058
Binan,29.55,18.36,15.8796,38.2368,36.8903,48.2912,50.9829,47.7178,50.6753,44.2037,45.6208,46.1444
Binangonan,26.69,16.58,28.8858,35.1101,35.7195,44.7662,0,47.8544,46.9827,40.8397,39.2431,41.7879
Bindoy,584.81,363.39,-,18.6316,18.6681,14.9802,0,35.9034,35.2906,31.7871,32.4606,29.6397
Bingawan,410.57,255.12,-,15.5467,21.2149,28.6211,0,37.3848,39.3488,35.3119,31.9886,31.5401
Binidayan,830.98,516.35,-,-,-,-,-,-,-,20.9107,22.5261,28.6021
Binmaley,177.72,110.43,-,28.8177,22.3572,27.8222,0,34.3369,36.3829,33.3245,29.7991,30.3481
Binuangan,753.74,468.35,-,23.2376,22.4579,29.5486,0,35.4982,36.5616,33.134,23.1306,19.8564
Biri,421.68,262.02,-,-,-,17.4207,0,14.856,15.8166,30.2317,27.8821,23.1309
